source_page,section,subsection,row_type,manager_fund_manager_strategy_label_raw,manager_fund_manager_strategy_label,manager_name_guess,product_name,flags,is_nav_stitched,is_fee_deducted,is_subscription_paused,fifty_underlying_start_date,return_1w_pct,return_mtd_pct,return_ytd_pct,return_2025_pct,return_2024_pct,return_2023_pct,return_2022_pct,return_2021_pct,return_2020_pct,return_2019_pct,sharpe_1y,max_drawdown_1y_pct,max_drawdown_hist_pct,extraction_quality_notes
5,量化选股,,index_or_benchmark,中证2000指数,中证2000指数,中证2000指数,,,False,False,False,-,5.89,2.62,11.19,36.42,-2.14,5.57,-14.77,25.89,15.39,21.96,1.66,-12.31,-67.23,
5,量化选股,,index_or_benchmark,中证全指指数,中证全指指数,中证全指指数,,,False,False,False,-,4.89,2.05,9.80,24.60,7.43,-7.04,-20.32,6.19,24.92,31.11,1.98,-9.49,-70.58,
5,量化选股,,index_or_benchmark,万得小市值指数,万得小市值指数,万得小市值指数,,,False,False,False,-,0.61,-2.95,-1.01,45.55,3.24,16.17,-8.01,30.15,15.21,27.09,1.15,-12.38,-59.72,
5,量化选股,,index_or_benchmark,中证红利全收益指数,中证红利全收益指数,中证红利全收益指数,,,False,False,False,-,-5.56,-4.07,-1.79,3.76,18.76,6.34,-0.37,18.19,8.18,20.88,0.21,-9.49,-70.34,
5,量化选股,沪深300指增,product,成长 佳期,佳期,佳期,佳期北斗星一期[3],[3],False,False,True,2019-06-06,7.61,7.04,27.82,47.66,29.44,-1.35,1.48,19.66,64.53,-,3.64,-5.98,-22.47,
5,量化选股,沪深300指增,product,诚奇,诚奇,诚奇,诚奇沪深300增强精选1期,,False,False,False,-,4.83,4.80,20.64,34.14,28.13,-7.47,-13.47,-,-,-,3.61,-4.42,-27.36,
5,量化选股,沪深300指增,product,成长 知行通达,知行通达,知行通达,知行通达汇智7号金选沪深300指数增强B[1],[1],True,False,False,2023-08-11,4.71,3.75,19.18,28.90,24.86,-6.69,-,-,-,-,3.49,-4.94,-18.35,product_line_not_found_for_manager_backfill
5,量化选股,沪深300指增,product,成长 平方和,平方和,平方和,平方和鼎盛沪深300指数增强30号,,False,False,False,-,4.99,3.30,17.60,39.61,-,-,-,-,-,-,3.39,-4.28,-5.78,
5,量化选股,沪深300指增,product,衍复,衍复,衍复,衍复金选沪深300指数增强一号B[1],[1],True,False,False,2021-08-06,4.11,2.80,16.50,29.41,21.78,2.77,-9.08,-,-,-,3.22,-3.98,-18.85,
5,量化选股,沪深300指增,product,世纪前沿,世纪前沿,世纪前沿,世纪前沿金选沪深300指数增强1号B[1],[1],True,False,False,2022-01-14,3.54,2.76,15.82,34.96,27.63,-3.14,-13.70,-,-,-,3.14,-5.90,-28.05,
5,量化选股,沪深300指增,product,成长 量派,量派,量派,量派金选沪深300指数增强22号B[1],[1],True,False,False,2021-11-12,3.75,1.92,15.20,24.34,25.26,-5.49,-14.86,8.98,-,-,2.85,-6.12,-28.38,
5,量化选股,沪深300指增,product,顽岩,顽岩,顽岩,顽岩沪深300指数增强专享2号,,False,False,False,-,4.31,1.11,14.95,-,-,-,-,-,-,-,-,-,-5.95,
5,量化选股,沪深300指增,product,宽德,宽德,宽德,宽德金选沪深300指数增强6号B[1][3],[1];[3],True,False,True,2024-08-02,3.59,3.30,10.36,30.88,25.88,-,-,-,-,-,2.86,-4.87,-10.80,
6,量化选股,中证500指增,product,成长 平方和,平方和,平方和,平方和鼎盛金选中证500指数增强152号B[1],[1],True,False,False,2026-05-22,9.38,6.19,33.00,56.62,27.50,8.17,-,-,-,-,2.93,-10.26,-17.49,product_line_not_found_for_manager_backfill
6,量化选股,中证500指增,product,成长 知行通达,知行通达,知行通达,知行通达汇智23号[1],[1],True,False,False,-,8.39,6.99,30.84,-,-,-2.08,-,-,-,-,2.70,-11.06,-22.70,
6,量化选股,中证500指增,product,衍复(可追加申购),衍复(可追加申购),衍复(可追加申购),衍复金选指数增强1号B[1],[1],True,False,False,2020-10-16,7.48,5.85,28.14,48.88,23.55,10.97,-2.42,27.30,-,-,3.01,-9.41,-18.33,
6,量化选股,中证500指增,product,诚奇,诚奇,诚奇,诚奇金选500指数增强1号B[1],[1],True,False,False,2021-02-26,7.51,6.77,27.17,50.92,20.24,2.07,-8.16,44.32,-,-,3.05,-8.32,-22.21,
6,量化选股,中证500指增,product,成长 茂源,茂源,茂源,凡二金选中证500指数增强1号B[1],[1],True,False,False,2021-06-25,6.95,5.00,25.98,46.10,13.20,7.06,-15.25,48.79,-,-,2.96,-9.68,-26.76,
